day,date,population,total_wealth,average_happiness
0,2025-01-02,200,0,0.4
7,2025-01-09,200,0,0.0
14,2025-01-16,200,0,0.0
21,2025-01-23,200,0,0.0
28,2025-01-30,200,0,0.0
35,2025-02-06,200,0,0.0
42,2025-02-13,200,0,0.0
49,2025-02-20,200,0,0.0
56,2025-02-27,200,0,0.0
63,2025-03-06,200,0,0.0
70,2025-03-13,200,0,0.0
77,2025-03-20,200,0,0.0
84,2025-03-27,200,0,0.0
91,2025-04-03,200,0,0.0
98,2025-04-10,200,0,0.0
105,2025-04-17,200,0,0.0
112,2025-04-24,200,0,0.0
119,2025-05-01,200,0,0.0
126,2025-05-08,200,0,0.0
133,2025-05-15,200,0,0.0
140,2025-05-22,200,0,0.0
147,2025-05-29,200,0,0.0
154,2025-06-05,200,0,0.0
161,2025-06-12,200,0,0.0
168,2025-06-19,200,0,0.0
175,2025-06-26,200,0,0.0
182,2025-07-03,200,0,0.0
189,2025-07-10,200,0,0.0
196,2025-07-17,200,0,0.0
203,2025-07-24,200,0,0.0
210,2025-07-31,200,0,0.0
217,2025-08-07,200,0,0.0
224,2025-08-14,200,0,0.0
231,2025-08-21,200,0,0.0
238,2025-08-28,200,0,0.0
245,2025-09-04,200,0,0.0
252,2025-09-11,200,0,0.0
259,2025-09-18,200,0,0.0
266,2025-09-25,200,0,0.0
273,2025-10-02,200,0,0.0
280,2025-10-09,200,0,0.0
287,2025-10-16,200,0,0.0
294,2025-10-23,200,0,0.0
301,2025-10-30,200,0,0.0
308,2025-11-06,200,0,0.0
315,2025-11-13,200,0,0.0
322,2025-11-20,200,0,0.0
329,2025-11-27,200,0,0.0
336,2025-12-04,200,0,0.0
343,2025-12-11,200,0,0.0
350,2025-12-18,200,0,0.0
357,2025-12-25,200,0,0.0
364,2026-01-01,200,0,0.0
371,2026-01-08,200,0,0.0
378,2026-01-15,200,0,0.0
385,2026-01-22,200,0,0.0
392,2026-01-29,200,0,0.0
399,2026-02-05,200,0,0.0
406,2026-02-12,200,0,0.0
413,2026-02-19,200,0,0.0
420,2026-02-26,200,0,0.0
427,2026-03-05,200,0,0.0
